id,year,Deflator,amount,chngdllr,pctChng,amount_nominal,TrueCode,majorfunction,subfunction,FunctionName,IsItMajorFunction,IsItSubFunction,IsItSubSubFunction,programmatic,discretionary,mandatory,Congress
1,1947,0.1216,311127,,,37833,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,80
2,1947,0.1216,118610,,,14423,050 Defs,50,,National Defense,1,0,0,0,0,0,80
3,1947,0.1216,0,,,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
4,1947,0.1216,118339,,,14390,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,80
5,1947,0.1216,0,,,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,80
6,1947,0.1216,0,,,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,80
7,1947,0.1216,0,,,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,80
8,1947,0.1216,0,,,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,80
9,1947,0.1216,0,,,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,80
10,1947,0.1216,0,,,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,80
11,1947,0.1216,0,,,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,80
12,1947,0.1216,0,,,0,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,80
13,1947,0.1216,271,,,33,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,80
14,1947,0.1216,7072,,,860,150 IAff,150,,International Affairs,1,0,0,0,0,0,80
15,1947,0.1216,0,,,0,150 TF/R,150,150.1,International Affairs- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
16,1947,0.1216,0,,,0,151 IDev,150,151,International Development and Humanitarian Assistance,0,1,0,1,1,0,80
17,1947,0.1216,5962,,,725,152 ISec,150,152,International Security Assistance,0,1,0,1,1,0,80
18,1947,0.1216,1110,,,135,153 forn,150,153,Conduct of Foreign Affairs,0,1,0,1,1,0,80
19,1947,0.1216,0,,,0,154 Info,150,154,Foreign Information and Exchange Activities,0,1,0,1,1,0,80
20,1947,0.1216,0,,,0,155 IFin,150,155,International Financial Programs,0,1,0,0,0,0,80
21,1947,0.1216,0,,,0,250 Scie,250,,"Science, Space, and Technology",1,0,0,0,0,0,80
22,1947,0.1216,0,,,0,250 TF/R,250,250.1,"Science, Space, and Technology- Trust Fund and Offsetting Receipts",0,0,0,0,0,0,80
23,1947,0.1216,0,,,0,251 Sci,250,251,General Science and Basic Research,0,1,0,1,1,0,80
24,1947,0.1216,0,,,0,252 Spc,250,252,"Space Flight, Research, and Supporting Activities",0,1,0,1,1,0,80
25,1947,0.1216,468,,,57,270 Ener,270,,Energy,1,0,0,0,0,0,80
