id,eo_number,president,pres_party,beg_term,end_term,signed_date,year,month,day,congress,divided,commemorative,description,pap_majortopic,pap_subtopic,majortopic,subtopic
1,9538,TRUMAN,100,1,0,19450413,1945,4,13,79,0,0,Authorizing certification for probational appointment of persons who lost opportunity for probational appointment because of entry into the Armed Forces,20,2004,20,2004
2,9539,TRUMAN,100,1,0,19450413,1945,4,13,79,0,0,Reinstating Avra M. Warren in the Foreign Service of the United States,19,1929,19,1929
3,9540,TRUMAN,100,1,0,19450417,1945,4,17,79,0,1,"Authorizing the Petroleum Administrator to take possession of and to operate the plants and facilities of the Cities Service Refining Corporation, located in and around Lake Charles, Louisiana",16,1610,16,1610
4,9541,TRUMAN,100,1,0,19450419,1945,4,19,79,0,0,Transferring the Office of Surplus Property of the Procurement Division of the Department of the Treasury to the Department of Commerce,20,2007,20,2007
5,9542,TRUMAN,100,1,0,19450423,1945,4,23,79,0,0,"Authorizing the Secretary of the Navy to take possession of and to operate the plants and facilities of the United Engineering Company, Ltd., located at San Francisco, California",16,1610,16,1610
6,9543,TRUMAN,100,1,0,19450423,1945,4,23,79,0,0,"Designating the Reconstruction Finance Corporation as the agency to act with respect to certain bonds, notes, and other securities acquired on behalf of the United States under the provisions of the Transportation Act of 1920",10,1000,10,1000
7,9544,TRUMAN,100,1,0,19450425,1945,4,25,79,0,0,Authorizing and directing the Secretary of War to assume full control of a certain airport,16,1619,16,1619
8,9545,TRUMAN,100,1,0,19450427,1945,4,27,79,0,0,Restoring certain lands comprising part of the Aiea Military Reservation to the use of the Territory of Hawaii,16,1611,16,1611
9,9546,TRUMAN,100,1,0,19450501,1945,5,1,79,0,0,Inspection by the Federal Security Agency of statistical transcript punch cards prepared for individual income tax returns,20,2009,20,2009
10,9547,TRUMAN,100,1,0,19450502,1945,5,2,79,0,0,Providing for representation of the United States in preparing and prosecuting charges of atrocities and war crimes against the leaders of the European Axis Powers and their principal agents and accessories,19,1925,19,1925
11,9548,TRUMAN,100,1,0,19450503,1945,5,3,79,0,0,Authorizing the Secretary of the Interior to take possession of and to operate certain coal mines,16,1610,16,1610
