year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,filter_democrat,words
1948,121,7,711,7,711,an intensified soil conservation program;,1,5
1952,355,7,711,7,711,"The soil resources of our country have been conserved and strengthened through the Soil Conservation Service, the Agricultural Conservation Program, the Forestry and the Research programs, with their incentives to increased production through sound conservation farming.",1,36
1952,356,7,711,7,711,These programs have revolutionized American agriculture and must be continued and expanded.,1,12
1952,357,7,711,7,711,"We will accelerate programs of upstream flood prevention, watershed protection, and soil, forest and water conservation in all parts of the country.",1,22
1952,358,7,711,7,711,These conservation measures are a national necessity;,1,7
1952,359,7,711,7,711,"they are invaluable to our farmers, and add greatly to the welfare of all Americans and of generations yet unborn.",1,20
1952,360,7,711,7,711,"We will continue the widest possible farmer participation through referenda, farmer-elected committees, local soil conservation districts, and self-governing agencies in the conduct and administration of these truly democratic programs, initiated and developed under Democratic administrations.",1,35
1952,467,7,709,7,709,a public works and water policy providing adequate protection for domestic fishery resources;,1,13
1952,470,7,709,7,709,"The Democratic Party has devoted its efforts to the preservation, restoration and increase of the bird, animal and fish life which abound in this Nation.",1,25
1952,471,7,709,7,709,"State, local and private agencies have cooperated in this worthy endeavor.",1,11
1956,762,7,700,7,700,and a doubling of our programs for resource development and conservation; and,1,12
1956,838,7,711,7,711,We also condemn the Republican Administration for its abandonment of the true principles of soil conservation and for its destruction of the Soil Conservation Service.,1,25
1956,839,7,711,7,711,We pledge to support continued improvements in the soil bank program passed by the Democratic 84th Congress and originally opposed by President Eisenhower and Secretary Ezra Taft Benson.,1,28
1956,840,7,711,7,711,We deplore the diversion of this conservation program into a direct vote-buying scheme.,1,13
1956,850,7,711,7,711,"In order to regain the ground lost during the Eisenhower Administration, and in order better to serve both consumers and producers, the Democratic Party pledges continuous and vigorous support to the following policies: Sponsor a positive and comprehensive program to conserve our soil, water and forest resources for future generations;",1,50
1956,1008,7,700,7,700,"We shall devise for the American people a dynamic, far-reaching and progressive conservation program.",1,14
1956,1011,7,711,7,711,"In contrast to the wasteful neglect of the present Administration, soil conservation practices will be stimulated and intensified to reduce land deterioration under the vital Soil Conservation Service assistance program conceived and fostered by the Democratic Party.",1,37
1956,1015,7,709,7,709,Fish and game habitats will be guarded against encroachment for commercial purposes.,1,12
1956,1032,7,711,7,711,The conservation of water is essential to the life of the Nation.,1,12
