id,majortopic,subtopic,PAPMajorTopic,CAPsubTopic,Topic,year,percent,PAPpercent,congress
7061,7,0,7,0,700s,1971,0.78637,0.78637,92
6711,7,0,7,0,700s,1972,0.73524,0.73524,92
9382,7,0,7,0,700s,1973,0.68468,0.68468,93
4881,7,0,7,0,700s,1974,0.70506,0.70506,93
5848,7,0,7,0,700s,1975,0.677,0.677,94
4886,7,0,7,0,700s,1976,0.68725,0.68725,94
1449,7,0,7,0,700s,1977,0.67867,0.67867,95
9532,7,0,7,0,700s,1978,0.67648,0.67648,95
8604,7,0,7,0,700s,1979,0.62704,0.62704,96
7859,7,0,7,0,700s,1980,0.62294,0.62294,96
8530,7,0,7,0,700s,1981,0.66981,0.66981,97
8345,7,0,7,0,700s,1982,0.68028,0.68028,97
7251,7,0,7,0,700s,1983,0.72652,0.72652,98
5806,7,0,7,0,700s,1984,0.76357,0.76357,98
7004,7,0,7,0,700s,1985,0.75075,0.75075,99
5378,7,0,7,0,700s,1986,0.77635,0.77635,99
6955,7,0,7,0,700s,1987,0.80103,0.80103,100
5495,7,0,7,0,700s,1988,0.8153,0.8153,100
8441,7,0,7,0,700s,1989,0.83703,0.83703,101
5418,7,0,7,0,700s,1990,0.82963,0.82963,101
9757,7,0,7,0,700s,1991,0.81988,0.81988,102
1520,7,0,7,0,700s,1992,0.78697,0.78697,102
7135,7,0,7,0,700s,1993,0.72629,0.72629,103
5711,7,0,7,0,700s,1994,0.74152,0.74152,103
2727,7,0,7,0,700s,1995,0.77844,0.77844,104
6923,7,0,7,0,700s,1996,0.73345,0.73345,104
2109,7,0,7,0,700s,1997,0.76356,0.76356,105
1284,7,0,7,0,700s,1998,0.77285,0.77285,105
1142,7,0,7,0,700s,1999,0.75629,0.75629,106
5851,7,0,7,0,700s,2000,0.76246,0.76246,106
4215,7,0,7,0,700s,2001,0.73718,0.73718,107
3031,7,0,7,0,700s,2002,0.73698,0.73698,107
8747,7,0,7,0,700s,2003,0.73298,0.73298,108
6656,7,0,7,0,700s,2004,0.74405,0.74405,108
5763,7,0,7,0,700s,2005,0.75849,0.75849,109
3244,7,0,7,0,700s,2006,0.76531,0.76531,109
6977,7,0,7,0,700s,2007,0.72634,0.72634,110
5930,7,0,7,0,700s,2008,0.71935,0.71935,110
4170,7,0,7,0,700s,2009,0.68186,0.68186,111
7741,7,0,7,0,700s,2010,0.6884,0.6884,111
3973,7,0,7,0,700s,2011,0.65407,0.65407,112
8457,7,0,7,0,700s,2012,0.67204,0.67204,112
1998,7,0,7,0,700s,2013,0.67407,0.67407,113
4941,7,0,7,0,700s,2014,0.70937,0.70937,113
9250,7,0,7,0,700s,2015,0.71108,0.71108,114
762,7,0,7,0,700s,2016,0.74717,0.74717,114
3774,7,0,7,0,700s,2017,0.79896,0.79896,115
8009,7,0,7,0,700s,2018,0.77782,0.77782,115
