id,year,Source,PageNumber,BeginningWords,Date,Length,FrontPage,Description,majortopic,NYMetro,Domestic,myNYC,myNYRegion,myDomestic,myUSinvolvement,PublicPolicy,FederalAgency,President,CongressDum,Courts,StateLocalActors,CandidatesCampaigns,InterestGroups,Congress,
1651,1947,NYT Index 1947,1543,CAB revises take-off,8/29/47,9,0,"CAB revises take-off rules, LaGuardia and Newark airports, to cut noise",7,2,1,0,1,1,0,1,1,0,0,0,0,0,0,80,
1705,1947,NYT Index 1947,1651,Elected to subcom of,3/28/47,9,0,L Philipp elected to subcom of Citizens Com on Air Pollution Abatement,7,3,1,0,0,1,0,0,0,0,0,0,0,0,1,80,
2199,1948,NYT Index 1948,235,Formed by NY,4/6/48,9,0,Conservation Foundation is formed by NY Zoological Soc,7,2,1,0,1,1,0,0,0,0,0,0,0,0,1,80,
2698,1949,NYT Index 1949,25,session,11/12/49,9,0,session (a Air Pollution Symposium sponsored by Stanford Research Inst),7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,81,
2794,1949,NYT Index 1949,217,Dr I N Gabrielson scores,8/26/49,9,0,Dr I N Gabrielson scores lack of compulsory wildlife protection provisions in (House) bill; urges salmon indus be protected,7,3,1,0,0,1,0,1,0,0,1,0,0,0,0,81,
3903,1951,NYT Index 1951,23,lr on motor vehicles,12/22/51,9,0,lr on motor vehicles exhaust fumes,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,82,
4218,1951,NYT Index 1951,653,May resign as DEPA,6/7/51,9,0,C B McManus may resign as DEPA admr,7,3,1,0,0,1,0,1,1,0,0,0,0,0,0,82,
4596,1952,NYT Index 1952,199,NYS Assembly passes,2/27/52,9,0,NYS Assembly passes bill authorizing suffolk County towns to finance shoreline erosion-control projects,7,2,1,0,1,1,0,1,0,0,0,0,1,0,0,82,
4889,1952,NYT Index 1952,785,CAA admr Horne,8/6/52,9,0,Civil Aeronautics Administrator Horne warns noise 1 of 'gravest' problems facing air inuds,7,3,1,0,0,1,0,0,0,0,0,0,0,0,1,82,
4982,1952,NYT Index 1952,973,hearing; current water,8/7/52,9,0,"hearing; (re Saranac Lake, NY) current water level seen retained pending decision on permanent dam height and sand-bar dredging",7,2,1,0,1,1,0,1,0,0,0,0,1,0,0,82,
5192,1953,NYT Index 1953,105,one balks efforts to prevent,6/8/53,9,0,"Beavers: One balks efforts to prevent it from bldg dam in private lake, Long Ridge, Conn; curator comment",7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,83,
5325,1953,NYT Index 1953,375,LI garden clubs donate,11/8/53,9,0,LI garden clubs donate funds to buy Sunken Forest in strips 1-ft wide,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,83,
5336,1953,NYT Index 1953,397,Bergen grand jury,4/22/53,9,0,Bergen grand jury indicts Little Ferry Mayor and 15 others for conspiracy in illegal operation of dump,7,2,1,0,1,1,0,1,0,0,0,1,1,0,0,83,
5474,1953,NYT Index 1953,673,Mrs L Miller of,9/27/53,9,0,Mrs L Miller of Wis Univ tracks wanderings of wild type with radioactive material,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,83,
