year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
1948,10,7,711,7,711,The soil as our basic natural resource must be conserved with increased effectiveness;,13
1948,72,7,711,7,711,There must be a long-term program in the interest of agriculture and the consumer which should include: An accelerated program of sounder soil conservation;,24
1952,307,7,711,7,711,"We support a constructive and expanded soil conservation program administered through locally-controlled local districts, and which shall emphasize that payments shall be made for practices and improvements of a permanent nature.",31
1952,338,7,709,7,709,"We favor protection of our fisheries by domestic regulation and treaties, including safeguards against unfair foreign competition.",17
1956,605,7,700,7,700,"Our Republican Administration fostered a constructive Soil Bank Program further to reduce surpluses and to permit improvement of our soil, water and timber resources.",24
1956,606,7,711,7,711,The Democrat Party tactics of obstruction and delay have prevented our farm families from receiving the full benefits of this program in 1956.,23
1956,607,7,711,7,711,"However, by aggressive action, we now have the Soil Bank in operation, and in 3 months, half a million farmers have contracted to shift more than 10 million acres from producing more surpluses to a soil reserve for the future.",40
1956,608,7,711,7,711,For this they already have earned $225 million.,8
1956,609,7,711,7,711,This program is a sound aid to removing the burdens of surpluses which Democrat programs placed on farmers.,18
1956,610,7,711,7,711,It is now moving into full operation.,7
1956,617,7,700,7,700,New records of assistance to farm and ranch families in soil and water conservation were attained in every year of this Republican Administration.,23
1956,629,7,711,7,711,To safeguard our precious soil and water resources for generations yet unborn;,12
1960,1142,7,709,7,709,Necessary measures for preservation of our domestic fisheries.,8
1960,1148,7,700,7,700,"Continued support of the effort to keep our great out-of-doors beautiful, green, and clean.",14
1960,1151,7,711,7,711,and to study the possibility of restoring lands not needed for a federal program.,14
1960,1156,7,709,7,709,"To preserve our fish and wildlife heritage, we pledge:Legislation to authorize exchange of lands between state and federal governments to adapt programs to changing uses and habits.",27
1960,1157,7,709,7,709,Vigorous implementation of long-range programs for fish and wildlife.,9
1960,1302,7,700,7,700,We are confronted with major problems in the field of environmental health.,12
1960,1303,7,711,7,711,We pledge:Strengthened federal enforcement powers in combatting water pollution and additional resources for research and demonstration projects.,17
1960,1304,7,703,7,703,Federal grants for the construction of waste disposal plants should be made only when they make an identifiable contribution to clearing up polluted streams.,24
1960,1305,7,705,7,705,"Federal authority to identify, after appropriate hearings, air pollution problems and to recommend proposed solutions.",15
1968,1832,7,700,7,700,"Air and water pollution, already acute in many areas, require vigorous state and federal action, regional planning, and maximum cooperation among neighboring cities, counties and states.",26
1968,1833,7,700,7,700,We will encourage this planning and cooperation and also spur industrial participation by means of economic incentives.,17
1968,2069,7,700,7,700,"In the tradition of Theodore Roosevelt, the Republican Party promises sound conservation and development of natural resources in cooperative government and private programs.",23
1968,2070,7,700,7,700,An expanding population and increasing material wealth require new public concern for the quality of our environment.,17
1968,2071,7,700,7,700,Our nation must pursue its activities in harmony with the environment.,11
1972,2278,7,700,7,700,from wanton pollution to vigorous environmental protection;,7
1972,2343,7,710,7,701,To restore the water quality of the Great Lakes in cooperation with Canada.,13
1972,2960,7,700,7,700,"Establish realistic environmental standards which safeguard wise resource use, while avoiding undue burdens on farmers;",15
1972,3021,7,700,7,700,"In January 1969, we found the Federal Government woefully unprepared to deal with the rapidly advancing environmental crisis.",18
1972,3022,7,700,7,700,Our response was swift and substantial.,6
1972,3023,7,700,7,700,"First, new decision-making organizations were set in place√≠√Øthe first Council on Environmental Quality, the Environmental Protection Agency, the National Oceanic and Atmospheric Administration.",23
1972,3025,7,700,7,700,"We also created a National Industrial Pollution Control Council to enlist the private sector more actively against environmental decay, and Presidential Federal Property Review Board was appointed to ferret out Federal property for transfer to local park and recreational uses.",40
1972,3026,7,700,7,700,"Second, we gave top priority in the Federal Budget to environmental improvements.",12
1972,3027,7,700,7,700,This fiscal year approximately $2.4 billion will be expended for major environmental programs√≠√Øthree times more than was being spent when President Nixon took office.,24
1972,3028,7,700,7,700,"Third, sweeping environment messages were sent to Congress in 1970, 1971 and 1972 covering air quality, water quality, toxic waste substances, ocean dumping, noise, solid waste management, land use, parklands and many other environmental concerns.",35
1972,3029,7,700,7,700,Almost all of these proposals still languish in the opposition Congress.,11
