fy ,budgetNom,budgetReal,workers
1970,1003,6198.03,4084
1971,1289,7642.49,5744
1972,2448,14054.22,8358
1973,2377,12842.7,9077
1974,518,2521.09,9743
1975,699,3117.08,10438
1976,772,3254.68,9481
1977,2764,10944.56,11315
1978,5499,20230.71,11986
1979,5403,17867.13,12160
1980,4669,13603.2,13078
1981,3031,8000.54,12667
1982,3676,9140.17,11402
1983,3689,8891.56,10832
1984,4067,9392.37,11420
1985,4354,9712.5,12410
1986,3664,8017.43,12892
1987,5364,11331.83,13442
1988,5027,10201.65,14442
1989,5155,9983.09,14370
1990,5462,10033.91,16318
1991,6094,10742,16415
1992,6669,11408.62,17010
1993,6892,11450.05,17280
1994,6659,10783.07,17106
1995,7241,11405.56,17508
1996,6523,9981.49,17082
1997,6799,10166.16,17152
1998,7363,10841.78,17739
1999,7590,10936.18,18110
2000,7563,10542.31,17726
2001,7832,10618.2,17558
2002,8079,10781.04,17590
2003,8079,10538.88,17741
2004,8365,10628.46,17611
2005,8023,9861.95,17495
2006,7617,9070.65,17355
2007,7725,8942.56,17072
2008,7472,8331.83,16916
2009,7644,8550.99,17049
2010,10298,11334.43,17278
2011,8682,9264.9,17359
2012,8449,8832.74,17106
2013,7901,8140.44,15913
2014,8200,8314.63,15408
2015,8140,8244.04,14725
2016,8140,8140,15376
2017,8058,7889.96,15408
2018,8824,8434.71,14172
2019,8849,8308.03,14172
2020,9057,8398.49,14172
2021,9237,8181.187041,14297
2022,9559,7844.066379,14581
